tree,benchmark,run,unit,successes,episodes,success_rate,source
starVLA,libero,ervla_mlm_pi_encoder_cam3d_slotdrop15_nolabeldrop_noditdrop,libero_goal,97,100,0.97000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_mlm_pi_encoder_cam3d_slotdrop15_nolabeldrop_noditdrop/results/libero/overall_results.json
starVLA,libero,ervla_mlm_pi_encoder_cam3d_slotdrop15_nolabeldrop_noditdrop,libero_object,100,100,1.00000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_mlm_pi_encoder_cam3d_slotdrop15_nolabeldrop_noditdrop/results/libero/overall_results.json
starVLA,libero,ervla_mlm_pi_encoder_cam3d_slotdrop15_nolabeldrop_noditdrop,libero_spatial,97,100,0.97000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_mlm_pi_encoder_cam3d_slotdrop15_nolabeldrop_noditdrop/results/libero/overall_results.json
starVLA,libero,ervla_mlm_pi_encoder_control,libero_10,92,100,0.92000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_mlm_pi_encoder_control/results/libero/overall_results.json
starVLA,libero,ervla_mlm_pi_encoder_control,libero_goal,98,100,0.98000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_mlm_pi_encoder_control/results/libero/overall_results.json
starVLA,libero,ervla_mlm_pi_encoder_control,libero_object,99,100,0.99000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_mlm_pi_encoder_control/results/libero/overall_results.json
starVLA,libero,ervla_mlm_pi_encoder_control,libero_spatial,99,100,0.99000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_mlm_pi_encoder_control/results/libero/overall_results.json
starVLA,libero,ervla_n_overlap18_structaux_cot,libero_10,95,100,0.95000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_n_overlap18_structaux_cot/results/libero/overall_results.json
starVLA,libero,ervla_n_overlap18_structaux_cot,libero_goal,98,100,0.98000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_n_overlap18_structaux_cot/results/libero/overall_results.json
starVLA,libero,ervla_n_overlap18_structaux_cot,libero_object,98,100,0.98000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_n_overlap18_structaux_cot/results/libero/overall_results.json
starVLA,libero,ervla_n_overlap18_structaux_cot,libero_spatial,95,100,0.95000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_n_overlap18_structaux_cot/results/libero/overall_results.json
starVLA,libero,ervla_o_split14_pi_cot,libero_10,67,100,0.67000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_o_split14_pi_cot/results/libero/overall_results.json
starVLA,libero,ervla_o_split14_pi_cot,libero_goal,47,100,0.47000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_o_split14_pi_cot/results/libero/overall_results.json
starVLA,libero,ervla_o_split14_pi_cot,libero_object,72,100,0.72000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_o_split14_pi_cot/results/libero/overall_results.json
starVLA,libero,ervla_o_split14_pi_cot,libero_spatial,88,100,0.88000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_o_split14_pi_cot/results/libero/overall_results.json
starVLA,libero,ervla_o_split14_pi_cot_masked,libero_10,92,100,0.92000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_o_split14_pi_cot_masked/results/libero/overall_results.json
starVLA,libero,ervla_o_split14_pi_cot_masked,libero_goal,97,100,0.97000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_o_split14_pi_cot_masked/results/libero/overall_results.json
starVLA,libero,ervla_o_split14_pi_cot_masked,libero_object,97,100,0.97000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_o_split14_pi_cot_masked/results/libero/overall_results.json
